
sti~^sh stylish
sti~^st stylist
sti~^ok stylographic
sa_v suave
sa_vte suavity
s)^ased subacid
s)^aj subagent

# Page 175 Column 1
s(oten subaltern
skete subcommitee
skshus subconscious
sds^k subdistrict
sdvi subdivide
sdu subdue
sdud subdued
s)^edtr subeditor
s)^ekl subequal
s)'ed subhead
s(jas subjacent
s(j subject
s(j^t subjected
s(j^sh subjection
s(j^v subjective
s(joen subjoin
s(jugat subjugate
s(jugsh subjugation
s(jnk subjunctive
s)les sublease
s)le sublet
s)lemat sublimate
s)li sublime
s)l^mt sublimity
smaren submarine
smej submerge
smersh submersion

# Page 175 Column 2
smsh submission
smesv submissive
smet submit
s(odn subordinate
s(odnsh subordination
spena subpoena
s)rogat subrogate
s)rogsh subrogation
? srosa sub rosa
s-skr subscribe
s-skr^r subscriber
s-skrsh subscription
s-sek subsequent
s-sev subserve
s-sevns subservience
s-sevnt subservient
s-si subside
s-sedre subsidiary
s-sediz subsidize
s-sede subsidy
s-ss subsist
s-sstns subsistence
s-soel subsoil
s-stns substance
s-stnsh substantial
s-stnsh^l substantiality
s-stnsha&'t substantiate

# Page 175 Column 3
s-stntv substantive
s-stet substitute
s-stsh substitution
sterfeuj subterfuge
steran subterranean
stl subtile
st^l subtility
sutl subtle
strk substract
strksh subtraction
s)rb suburb
s)rbn suburban
sve~t subvert
s(ua subway
suk success
sukf successful
suk^v successive
suk^r successor
suksenk succinct
sukr succor
suklent succulent
sukm succumb
s(ch such
suksh suction
sudn sudden
suf suffer
sufb sufferable

# Page 176 Column 1
sufns sufferance
sufis suffice
suf sufficient
sufex suffix
sufkat suffocate
sufkash suffocation
sufrj suffrage
sufrjet suffragette
sufrjes suffragist
sufeu suffuse
sufeush suffusion
shugr sugar
sug suggest
sug suggestion
susidl suicidal
susi suicide
sut suit
sut^b suitability
sutb suitable
suet suite
sutr suitor
sulken sulkiness
sulke sulky
sulen sullen
sule sully
sulf sulphur
sulfsh sulphuration
sulfus sulphureous

# Page 176 Column 2
sulfk sulphuric
sulfiz sulphurize
sultn sultan
sultren sultriness
sultre sultry
sm sum
smre summary
sme~ summer
smet summit
smn summon
sm-tus sumptuous
snbem sunbeam
snbe~n sunburn
sn sunday
sndr sunder
sndre sundry
snk sunk
snli sunlight
snshin sunshine
s)^ab superabundance
s)^an superannuate
s)^ansh superannuation
s)^b superb
s)^sel supercilious
s)^fesh superficial
s)^fin superfine
s)^flu superfluity

# Page 176 Column 3
s)^f superfluous
s)^'eumn superhuman
s)^mpo superimpose
s)^ndus superinduce
s)^n-tn superintend
s)^n-tn superintendent
s)^or superior
s)^r superiority
s)^latv superlative
s)^nl supernal
s)^nashl supernational
s)^nat supernatural
s)^neum supernumerary
s)^po superpose
s)^skr superscribe
s)^sed supersede
s)^stsh superstition
s)^stshus superstitious
s)^strkt superstructure
s)^ven supervene
s)^vis supervise
s)^vesh supervision
supin supine
super supper
splant supplant
supl supple
splem supplement
splemre supplementary

# Page 177 Column 1
spla&'ns suppliance
spla&'nt suppliant
splekat supplicate
splahi supply
s)^t support
s)^tb supportable
s)^te~ supporter
spo suppose
sposh supposition
s)^s suppress
s)^sh suppression
s)^mse supremacy
s)^m supreme
seses surcease
s(echj surcharge
s(ed surd
shu sure
shu surely
shun sureness
shute surety
sef surf
sefa surface
sefet surfeit
s(ej surge
s(ejn surgeon
s(ejre surgery
s(ej^k surgical
serle surly

# Page 177 Column 2
s(emiz surmise
s(emn-t surmount
s(ena surname
sepas surpass
seples surplice
seplus surplus
sepriz surprise
? serend surrender
sereptsh surreptitious
serogat surrogate
serogsh surrogation
sernd surround
sevalns surveillance
sevalnt surveillant
seva survey
sevar surveyor
? sevi^l survival
sevi survive
sevi^r survivor
ss^b susceptibility
ss^tb susceptible
ss^tv susceptive
ss^k suspect
ss^nd suspend
ss^ns suspense
ss^nsh suspension
ss^sh suspicion

# Page 177 Column 3
ss^shus suspicious
ss^rash suspiration
ss^r suspire
sstn sustain
sstnans sustenance
suan swain
so_lo swallow
so_mp swamp
so_n swan
so_d sward
so_m swarm
so_the swarthy
so_th swath
sua sway
sa_r swear
suet sweat
sued swede
se_p sweep
suet sweet
suetn sweeten
se_l swell
se_lte~ swelter
se_v swerve
se_ft swift
se_ft-n swiftness
suem swim
sueme~ swimmer

# Page 178 Column 1
suendl swindle
suendlr swindler
sueng swing
se_rl swirl
sues swiss
se_ch switch
se_vl swivel
so_len swollen
su_n swoon
su_p swoop
sod sword
sodfesh swordfish
so_n sworn
su_ng swung
sekmor sycamore
selabk syllabic
selab^f syllabification
selb syllable
selabus syllabus
seljesm syllogism

# Page 178 Column 2
self sylph
selvn sylvan
sembl symbol
somblek symbolic
sembliz symbolize
semet^k symmetrical
semetre symmetry
semth^a sympathetic
semthiz sympathize
semthizr sypathizer
semthe sympathy
semfne symphony
sempos symposium
sem-tm symptom
senagoj^k synagogical
senag synagogue
senkro synchronism
senkroniz synchronize
senkronus synchronous
senkopa syncopate

# Page 178 Column 3
senkopash syncopation
send^k syndical
sendek syndicate
senod synod
senonem synonym
senon synonymous
senop synopsis
sentax synatax
senthess synthesis
senthesst synthesist
senth^a synthetic
senth^a| synthetical
serenj syringe
? serup syrup
ss system
ss^a systematic
? ss^a&e systematically
sstezsh systematization
sstiz systematize
